 Ref_Format,Video_Format,H_Timing,V_Timing
1080i5994,1080i5994,0.93,0 line
720p5994,1080i5994,1.14,0 line
525i5994,1080i5994,0.02,0 line
1080i5994,720p5994,0.87,0 line
720p5994,720p5994,0.94,0 line
525i5994,720p5994,0.27,0 line
1080i5994,1080p5994_A,1.17,  4 lines delayed
720p5994,1080p5994_A,6.29,  4 lines delayed
525i5994,1080p5994_A,7.14,160 lines advanced
1080i5994,525i5994,3.25,0 line
720p5994,525i5994,3.25,0 line
525i5994,525i5994,2.44,0 line
1080i5000,1080i5000,0.87,0 line
720p5000,1080i5000,0.97,0 line
625i5000,1080i5000,0.98,0 line
1080i5000,720p5000,0.95,0 line
720p5000,720p5000,0.91,0 line
625i5000,720p5000,0.9,0 line
720p5000,1080p5000_A,0.09,0 line
625i5000,1080p5000_A,8.29,  2 lines delayed
1080i5000,625i5000,1.33,0 line
720p5000,625i5000,1.11,0 line
625i5000,625i5000,3.18,0 line
1080i5994,1080i5994,0.93,0 line
720p5994,1080i5994,0.95,0 line
525i5994,1080i5994,0.04,0 line
1080i5994,720p5994,0.94,0 line
720p5994,720p5994,1.33,0 line
525i5994,720p5994,0.04,0 line
1080i5994,1080p5994_A,0.16,0 line
720p5994,1080p5994_A,0.43,0 line
525i5994,1080p5994_A,5.6,376 lines delayed
1080i5994,525i5994,3.25,0 line
720p5994,525i5994,3.55,0 line
525i5994,525i5994,2.59,0 line
1080i5000,1080i5000,0.88,0 line
720p5000,1080i5000,0.94,0 line
625i5000,1080i5000,0.17,0 line
1080i5000,720p5000,0.94,0 line
720p5000,720p5000,0.94,0 line
625i5000,720p5000,0.26,0 line
1080i5000,1080p5000_A,2.72,  4 lines delayed
720p5000,1080p5000_A,6.22,  4 lines delayed
625i5000,1080p5000_A,0.88,0 line
1080i5000,625i5000,1.33,0 line
720p5000,625i5000,1.18,0 line
625i5000,625i5000,2.74,0 line
1080i5994,1080i5994,0.93,0 line
720p5994,1080i5994,1.13,0 line
525i5994,1080i5994,0.09,0 line
1080i5994,720p5994,0.91,0 line
720p5994,720p5994,1.37,0 line
525i5994,720p5994,0.08,0 line
1080i5994,1080p5994_A,1.57,  4 lines delayed
720p5994,1080p5994_A,5.89,  4 lines delayed
525i5994,1080p5994_A,0.76,0 line
1080i5994,525i5994,3.33,0 line
720p5994,525i5994,3.77,0 line
525i5994,525i5994,2.66,0 line
1080i5000,1080i5000,0.88,0 line
720p5000,1080i5000,0.98,0 line
625i5000,1080i5000,0.22,0 line
1080i5000,720p5000,0.92,0 line
720p5000,720p5000,0.92,0 line
625i5000,720p5000,0.28,0 line
1080i5000,1080p5000_A,0.18,0 line
720p5000,1080p5000_A,8.75,0 line
625i5000,1080p5000_A,0.79,301 lines delayed
1080i5000,625i5000,1.33,0 line
720p5000,625i5000,0.96,0 line
625i5000,625i5000,2.51,0 line
1080i5994,1080i5994,0.94,0 line
720p5994,1080i5994,1.28,0 line
525i5994,1080i5994,0.02,0 line
1080i5994,720p5994,0.91,0 line
720p5994,720p5994,0.75,0 line
525i5994,720p5994,0.16,0 line
1080i5994,1080p5994_A,6.21, 56 lines delayed
720p5994,1080p5994_A,5.89,  5 lines delayed
525i5994,1080p5994_A,6.16,557 lines delayed
1080i5994,525i5994,3.25,0 line
720p5994,525i5994,3.92,0 line
525i5994,525i5994,2.51,0 line
1080i5000,1080i5000,0.87,0 line
720p5000,1080i5000,0.94,0 line
625i5000,1080i5000,0.35,0 line
1080i5000,720p5000,0.95,0 line
720p5000,720p5000,1.02,0 line
625i5000,720p5000,0.47,0 line
1080i5000,1080p5000_A,2.66,  4 lines delayed
720p5000,1080p5000_A,0.14,0 line
625i5000,1080p5000_A,2.68, 85 lines advanced
1080i5000,625i5000,1.25,0 line
720p5000,625i5000,1.11,0 line
625i5000,625i5000,2.66,0 line
1080i5994,1080i5994,0.9,0 line
720p5994,1080i5994,1.2,0 line
525i5994,1080i5994,0.08,0 line
1080i5994,720p5994,0.87,0 line
720p5994,720p5994,1.26,0 line
525i5994,720p5994,0.13,0 line
1080i5994,1080p5994_A,0.13,0 line
720p5994,1080p5994_A,0.14,0 line
525i5994,1080p5994_A,1.09,0 line
1080i5994,525i5994,0.08,0 line
720p5994,525i5994,3.18,0 line
525i5994,525i5994,2.44,0 line
1080i5000,1080i5000,0.88,0 line
720p5000,1080i5000,0.92,0 line
625i5000,1080i5000,0.4,0 line
1080i5000,720p5000,0.95,0 line
720p5000,720p5000,1.29,0 line
625i5000,720p5000,0.14,0 line
720p5000,1080p5000_A,0.14,0 line
625i5000,1080p5000_A,8.39,230 lines advanced
1080i5000,625i5000,1.33,0 line
720p5000,625i5000,1.11,0 line
625i5000,625i5000,2.74,0 line
1080i5994,1080i5994,0.98,0 line
720p5994,1080i5994,1.3,0 line
1080i5994,720p5994,0.93,0 line
720p5994,720p5994,1.11,0 line
525i5994,720p5994,0.08,0 line
1080i5994,1080p5994_A,0.16,0 line
720p5994,1080p5994_A,5.82,160 lines advanced
525i5994,1080p5994_A,1.1,0 line
1080i5994,525i5994,3.33,0 line
720p5994,525i5994,3.48,0 line
525i5994,525i5994,2.44,0 line
1080i5000,1080i5000,0.87,0 line
720p5000,1080i5000,0.92,0 line
625i5000,1080i5000,0.24,0 line
1080i5000,720p5000,0.94,0 line
720p5000,720p5000,0.94,0 line
625i5000,720p5000,0.75,0 line
1080i5000,1080p5000_A,2.47,  4 lines delayed
720p5000,1080p5000_A,6.46,  4 lines delayed
625i5000,1080p5000_A,6.35,140 lines delayed
1080i5000,625i5000,1.33,0 line
720p5000,625i5000,1.11,0 line
625i5000,625i5000,2.66,0 line
1080i5994,1080i5994,0.95,0 line
720p5994,1080i5994,0.86,0 line
525i5994,1080i5994,0.1,0 line
1080i5994,720p5994,0.89,0 line
720p5994,720p5994,1.26,0 line
525i5994,720p5994,0.44,0 line
1080i5994,1080p5994_A,1.52,  4 lines delayed
720p5994,1080p5994_A,0.08,0 line
525i5994,1080p5994_A,4.55, 11 lines advanced
1080i5994,525i5994,3.33,0 line
720p5994,525i5994,3.11,0 line
525i5994,525i5994,2.74,0 line
1080i5000,1080i5000,0.88,0 line
720p5000,1080i5000,0.94,0 line
625i5000,1080i5000,0.24,0 line
1080i5000,720p5000,0.94,0 line
720p5000,720p5000,1.29,0 line
625i5000,720p5000,0.25,0 line
1080i5000,1080p5000_A,3.23, 52 lines delayed
720p5000,1080p5000_A,0.17,0 line
625i5000,1080p5000_A,1.01,0 line
1080i5000,625i5000,1.25,0 line
720p5000,625i5000,1.18,0 line
625i5000,625i5000,2.74,0 line
1080i5994,1080i5994,0.97,0 line
720p5994,1080i5994,1.3,0 line
525i5994,1080i5994,0.13,0 line
1080i5994,720p5994,0.93,0 line
720p5994,720p5994,1.29,0 line
1080i5994,1080p5994_A,6.13, 56 lines delayed
720p5994,1080p5994_A,0.17,0 line
525i5994,1080p5994_A,4.82, 11 lines advanced
1080i5994,525i5994,3.33,0 line
720p5994,525i5994,3.4,0 line
525i5994,525i5994,2.44,0 line
1080i5000,1080i5000,0.87,0 line
720p5000,1080i5000,0.98,0 line
625i5000,1080i5000,0.49,0 line
1080i5000,720p5000,0.94,0 line
720p5000,720p5000,1.02,0 line
625i5000,720p5000,0.35,0 line
1080i5000,1080p5000_A,0.53, 51 lines delayed
720p5000,1080p5000_A,7.04,261 lines advanced
625i5000,1080p5000_A,1.15,259 lines advanced
1080i5000,625i5000,0.96,0 line
720p5000,625i5000,1.18,0 line
625i5000,625i5000,3.48,0 line
1080i5994,1080i5994,0.93,0 line
720p5994,1080i5994,1.21,0 line
525i5994,1080i5994,0.01,0 line
1080i5994,720p5994,0.93,0 line
720p5994,720p5994,0.74,0 line
525i5994,720p5994,0.12,0 line
1080i5994,1080p5994_A,1.41,  4 lines delayed
720p5994,1080p5994_A,0.08,0 line
525i5994,1080p5994_A,0.97,0 line
1080i5994,525i5994,3.33,0 line
720p5994,525i5994,3.33,0 line
525i5994,525i5994,2.44,0 line
